Attribute,Value
Number Critical Scenarios,146
Number Critical Scenarios (duplicate free),146
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,6
Number Best Critical Scenarios (duplicate free),6
Number Best Scenarios,8
Number Best Scenarios (duplicate free),8
Ratio Critical/All scenarios,0.15
Ratio Critical/All scenarios (duplicate free),0.15
Ratio Best Critical/Best Scenarios,0.75
Ratio Best Critical/Best Scenarios (duplicate free),0.75
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999976  0.7806679   0.        ]
Input value of critical (first of population of interest),[-2.07960089  6.10950306  8.16224872]
