Attribute,Value
Number Critical Scenarios,172
Number Critical Scenarios (duplicate free),47
Number All Scenarios,1000
Number All Scenarios (duplicate free),256
Number Best Critical Scenarios,96
Number Best Critical Scenarios (duplicate free),18
Number Best Scenarios,512
Number Best Scenarios (duplicate free),59
Ratio Critical/All scenarios,0.17
Ratio Critical/All scenarios (duplicate free),0.18
Ratio Best Critical/Best Scenarios,0.19
Ratio Best Critical/Best Scenarios (duplicate free),0.31
Iteration first critical found,5
Fitness value of critical (first of population of interest),[-0.999914  0.827182 -0.725169]
Input value of critical (first of population of interest),[-0.804561 -7.777872  2.276821]
