Attribute,Value
Number Critical Scenarios,447
Number Critical Scenarios (duplicate free),122
Number All Scenarios,1000
Number All Scenarios (duplicate free),297
Number Best Critical Scenarios,10
Number Best Critical Scenarios (duplicate free),10
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.45
Ratio Critical/All scenarios (duplicate free),0.41
Ratio Best Critical/Best Scenarios,0.50
Ratio Best Critical/Best Scenarios (duplicate free),0.50
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.99730611  0.82863778]
Input value of critical (first of population of interest),[-5.89555917  5.90776571  3.78327291]
