Attribute,Value
Number Critical Scenarios,699
Number Critical Scenarios (duplicate free),204
Number All Scenarios,1000
Number All Scenarios (duplicate free),318
Number Best Critical Scenarios,210
Number Best Critical Scenarios (duplicate free),37
Number Best Scenarios,297
Number Best Scenarios (duplicate free),56
Ratio Critical/All scenarios,0.70
Ratio Critical/All scenarios (duplicate free),0.64
Ratio Best Critical/Best Scenarios,0.71
Ratio Best Critical/Best Scenarios (duplicate free),0.66
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999295  0.820026]
Input value of critical (first of population of interest),[ 1.679338 -4.763054  2.381762]
