RS_n_evals,RS_cid,RS_cid_sigma,MOPSO_n_evals,MOPSO_cid,MOPSO_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma,NSGAII-DJ_A0.29_SEQ_n_evals,NSGAII-DJ_A0.29_SEQ_cid,NSGAII-DJ_A0.29_SEQ_cid_sigma
200.0,0.24880850671790272,0.058792239198827013,200.0,0.3316608270184067,0.08794408337687201,200.0,0.2962153116572238,0.05778698014393602,200.0,0.2941496819131971,0.12247560916946446
400.0,0.1753511134287292,0.036773542698665666,400.0,0.21275283397135678,0.03127037446661755,400.0,0.2794047768463109,0.05658040539507325,400.0,0.23709270450028277,0.05525766962253797
600.0,0.14258238696911682,0.01633270210498098,600.0,0.17485521642929075,0.019581366413014976,600.0,0.2669949753519959,0.05765290411027028,600.0,0.21315622867070064,0.030580401179838516
800.0,0.12658280380323667,0.013595193459602074,800.0,0.15322797111128086,0.017692872071945066,800.0,0.26166928073270657,0.05988127744731139,800.0,0.20028782297094652,0.03631511810536886
1000.0,0.12002087741307503,0.014356397711835497,1000.0,0.14408870221719242,0.02180270257001801,1000.0,0.26028703056018276,0.060564553067826564,1000.0,0.18947950464992633,0.03741531937050867
1200.0,0.11139527784679118,0.016422608609306836,1200.0,0.1318707210724063,0.023853634304325605,1200.0,0.25939309124433346,0.06044808768001811,1200.0,0.1821940347663646,0.031945489749363974
1400.0,0.10028985928513975,0.012081485935635275,1400.0,0.12663959484729065,0.024291017638717844,1400.0,0.25909514061247474,0.06040766757922643,1400.0,0.1803492015494406,0.032344253499333224
1600.0,0.09398771876855584,0.013618919562915827,1600.0,0.12308865636998881,0.024093099065392684,1600.0,0.25694852495364456,0.06118437957817774,1600.0,0.17610426508403595,0.030972139890624147
1800.0,0.08772391992170282,0.008295906836681074,1800.0,0.12209650545751796,0.02440347684007759,1800.0,0.2567805324943737,0.061288991379522685,1800.0,0.17456245110694893,0.031201761612258145
2000.0,0.08394645323083223,0.008129397717923592,2000.0,0.11882099030481123,0.026078875906205574,2000.0,0.2567339206966593,0.06131306494986362,2000.0,0.16960820570454557,0.029139334719708136
