run,RS,MOPSO,NSGA-II,NSGAII-DJ_A0.29_SEQ
1,0.0909178935586934,0.10593749827259286,0.21297884832885777,0.1583775747455858
2,0.08485315643301211,0.11894525903852611,0.2540185183759571,0.1729669938965751
3,0.08266894471005388,0.10638796122200199,0.2213348526879825,0.2251292702990312
4,0.08966295742500002,0.17601402978249922,0.20533447407918473,0.17224704923777728
5,0.08010399271811362,0.1238442241326055,0.21546302888612925,0.13875608800012434
6,0.07317508565732628,0.10003437489764173,0.36016420120196513,0.20584775835726832
7,0.0978711454114853,0.10768251703293054,0.3103936471442734,0.1400283112546832
8,0.08187895459530012,0.1530311083566135,0.337703589142772,0.18538206451151845
9,0.07090816431968112,0.09683234530798328,0.2705964165621335,0.15731863548820904
10,0.08742423747965636,0.09950058500471756,0.17935163055733747,0.1400283112546832
