Attribute,Value
Number Critical Scenarios,544
Number Critical Scenarios (duplicate free),110
Number All Scenarios,1000
Number All Scenarios (duplicate free),218
Number Best Critical Scenarios,11
Number Best Critical Scenarios (duplicate free),11
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.54
Ratio Critical/All scenarios (duplicate free),0.50
Ratio Best Critical/Best Scenarios,0.55
Ratio Best Critical/Best Scenarios (duplicate free),0.55
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.82124591  0.68609296  0.        ]
Input value of critical (first of population of interest),[-2.09717526  7.81744752  2.0649663 ]
