Attribute,Value
Number Critical Scenarios,642
Number Critical Scenarios (duplicate free),231
Number All Scenarios,1000
Number All Scenarios (duplicate free),375
Number Best Critical Scenarios,160
Number Best Critical Scenarios (duplicate free),45
Number Best Scenarios,210
Number Best Scenarios (duplicate free),55
Ratio Critical/All scenarios,0.64
Ratio Critical/All scenarios (duplicate free),0.62
Ratio Best Critical/Best Scenarios,0.76
Ratio Best Critical/Best Scenarios (duplicate free),0.82
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.991212  0.742802]
Input value of critical (first of population of interest),[-7.811781 -6.743125 14.109367]
