Attribute,Value
Number Critical Scenarios,461
Number Critical Scenarios (duplicate free),107
Number All Scenarios,1000
Number All Scenarios (duplicate free),184
Number Best Critical Scenarios,211
Number Best Critical Scenarios (duplicate free),30
Number Best Scenarios,541
Number Best Scenarios (duplicate free),45
Ratio Critical/All scenarios,0.46
Ratio Critical/All scenarios (duplicate free),0.58
Ratio Best Critical/Best Scenarios,0.39
Ratio Best Critical/Best Scenarios (duplicate free),0.67
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.998655  0.836471 -4.579108]
Input value of critical (first of population of interest),[ 1.99935  -6.297063  2.376975]
