Index,X_0,X_1,X_2,Fitness_Fitness_0,Fitness_Fitness_1,Fitness_Fitness_2,Critical
0,-8.000000,-8.000000,2.111111,-1.000000,0.845427,0.000000,1
1,-8.000000,-8.000000,8.444444,-0.995585,0.733741,0.000000,1
2,-8.000000,-8.000000,19.000000,-0.982630,0.673128,0.000000,1
3,-6.222222,-8.000000,0.000000,-0.998205,0.772062,0.000000,1
4,-6.222222,-8.000000,2.111111,-1.000000,0.842279,0.000000,1
5,-6.222222,-8.000000,8.444444,-0.972955,0.714964,0.000000,1
6,-6.222222,-8.000000,10.555556,-0.974301,0.738454,0.000000,1
7,-6.222222,-8.000000,12.666667,-0.952682,0.729137,0.000000,1
8,-6.222222,-8.000000,19.000000,-0.988694,0.667952,0.000000,1
9,-4.444444,-8.000000,0.000000,-0.999980,0.784592,0.000000,1
10,-4.444444,-8.000000,2.111111,-0.999775,0.848478,0.000000,1
11,-4.444444,-8.000000,10.555556,-0.959684,0.770354,0.000000,1
12,-4.444444,-8.000000,12.666667,-0.961666,0.711692,0.000000,1
13,-4.444444,-8.000000,16.888889,-0.988128,0.720151,0.000000,1
14,-4.444444,-8.000000,19.000000,-0.993590,0.680205,0.000000,1
15,-2.666667,-8.000000,0.000000,-1.000000,0.793815,0.000000,1
16,-2.666667,-8.000000,2.111111,-1.000000,0.854240,0.000000,1
17,-2.666667,-8.000000,16.888889,-0.996902,0.709772,0.000000,1
18,-2.666667,-8.000000,19.000000,-0.993797,0.696285,0.000000,1
19,-0.888889,-8.000000,0.000000,-1.000000,0.791237,0.000000,1
20,-0.888889,-8.000000,2.111111,-1.000000,0.853206,0.000000,1
21,-0.888889,-8.000000,16.888889,-0.999447,0.710920,0.000000,1
22,0.888889,-8.000000,0.000000,-1.000000,0.783154,0.000000,1
23,0.888889,-8.000000,2.111111,-1.000000,0.835751,0.000000,1
24,0.888889,-8.000000,6.333333,-0.965382,0.717263,0.000000,1
25,0.888889,-8.000000,14.777778,-0.963977,0.734037,0.000000,1
26,0.888889,-8.000000,16.888889,-0.998985,0.723893,0.000000,1
27,2.666667,-8.000000,0.000000,-1.000000,0.790081,0.000000,1
28,2.666667,-8.000000,2.111111,-0.999988,0.824462,0.000000,1
29,2.666667,-8.000000,6.333333,-0.971160,0.727253,0.000000,1
30,2.666667,-8.000000,12.666667,-0.966614,0.752905,0.000000,1
31,2.666667,-8.000000,14.777778,-0.972958,0.743399,0.000000,1
32,4.444444,-8.000000,0.000000,-0.999664,0.772313,0.000000,1
33,4.444444,-8.000000,2.111111,-0.998185,0.808905,0.000000,1
34,4.444444,-8.000000,6.333333,-0.988300,0.740774,0.000000,1
35,4.444444,-8.000000,10.555556,-0.985203,0.717847,0.000000,1
36,6.222222,-8.000000,0.000000,-0.973534,0.768597,0.000000,1
37,6.222222,-8.000000,2.111111,-0.990684,0.811874,0.000000,1
38,6.222222,-8.000000,4.222222,-0.959029,0.752234,0.000000,1
39,6.222222,-8.000000,6.333333,-0.998165,0.770209,0.000000,1
40,6.222222,-8.000000,10.555556,-0.968628,0.717008,0.000000,1
41,8.000000,-8.000000,0.000000,-0.972764,0.771337,0.000000,1
42,8.000000,-8.000000,2.111111,-0.996682,0.787564,0.000000,1
43,8.000000,-8.000000,4.222222,-0.995361,0.742502,0.000000,1
44,8.000000,-8.000000,6.333333,-0.996354,0.760325,0.000000,1
45,8.000000,-8.000000,12.666667,-0.999451,0.768153,0.000000,1
46,-8.000000,-6.222222,2.111111,-0.999954,0.829762,0.000000,1
47,-8.000000,-6.222222,8.444444,-0.999110,0.785484,0.000000,1
48,-8.000000,-6.222222,10.555556,-0.961838,0.727141,0.000000,1
49,-8.000000,-6.222222,19.000000,-0.974511,0.671601,0.000000,1
50,-6.222222,-6.222222,2.111111,-0.999996,0.836415,0.000000,1
51,-6.222222,-6.222222,8.444444,-0.995466,0.777261,0.000000,1
52,-6.222222,-6.222222,19.000000,-0.983361,0.693102,0.000000,1
53,-4.444444,-6.222222,0.000000,-0.998502,0.773260,0.000000,1
54,-4.444444,-6.222222,2.111111,-1.000000,0.826309,0.000000,1
55,-4.444444,-6.222222,12.666667,-0.959506,0.722241,0.000000,1
56,-4.444444,-6.222222,16.888889,-0.958670,0.735310,0.000000,1
57,-4.444444,-6.222222,19.000000,-0.977937,0.695187,0.000000,1
58,-2.666667,-6.222222,0.000000,-0.999999,0.785575,0.000000,1
59,-2.666667,-6.222222,2.111111,-1.000000,0.832740,0.000000,1
60,-2.666667,-6.222222,16.888889,-0.983630,0.721799,0.000000,1
61,-2.666667,-6.222222,19.000000,-0.992083,0.688063,0.000000,1
62,-0.888889,-6.222222,0.000000,-1.000000,0.787840,0.000000,1
63,-0.888889,-6.222222,2.111111,-1.000000,0.832013,0.000000,1
64,-0.888889,-6.222222,16.888889,-0.997557,0.721429,0.000000,1
65,0.888889,-6.222222,0.000000,-1.000000,0.786231,0.000000,1
66,0.888889,-6.222222,2.111111,-0.999999,0.825312,0.000000,1
67,0.888889,-6.222222,16.888889,-0.996432,0.723159,0.000000,1
68,2.666667,-6.222222,0.000000,-0.999985,0.781200,0.000000,1
69,2.666667,-6.222222,2.111111,-0.998308,0.811317,0.000000,1
70,4.444444,-6.222222,0.000000,-0.981183,0.765502,0.000000,1
71,4.444444,-6.222222,2.111111,-0.953843,0.811505,0.000000,1
72,4.444444,-6.222222,6.333333,-0.959772,0.712312,0.000000,1
73,4.444444,-6.222222,10.555556,-0.975315,0.722506,0.000000,1
74,6.222222,-6.222222,6.333333,-0.986058,0.719304,0.000000,1
75,6.222222,-6.222222,12.666667,-0.999601,0.771433,0.000000,1
76,8.000000,-6.222222,12.666667,-0.999996,0.782620,0.000000,1
77,-8.000000,-4.444444,4.222222,-0.977575,0.802307,0.000000,1
78,-8.000000,-4.444444,6.333333,-0.997605,0.761575,0.000000,1
79,-8.000000,-4.444444,8.444444,-0.996828,0.815238,0.000000,1
80,-8.000000,-4.444444,10.555556,-0.952693,0.729665,0.000000,1
81,-8.000000,-4.444444,19.000000,-0.950730,0.665882,0.000000,1
82,-6.222222,-4.444444,2.111111,-0.973211,0.818993,0.000000,1
83,-6.222222,-4.444444,6.333333,-0.961731,0.747377,0.000000,1
84,-6.222222,-4.444444,8.444444,-0.998712,0.815011,0.000000,1
85,-6.222222,-4.444444,19.000000,-0.976461,0.690231,0.000000,1
86,-4.444444,-4.444444,2.111111,-0.998606,0.801729,0.000000,1
87,-4.444444,-4.444444,8.444444,-0.982985,0.803613,0.000000,1
88,-4.444444,-4.444444,12.666667,-0.950772,0.704067,0.000000,1
89,-4.444444,-4.444444,19.000000,-0.978659,0.686592,0.000000,1
