Attribute,Value
Number Critical Scenarios,625
Number Critical Scenarios (duplicate free),48
Number All Scenarios,2000
Number All Scenarios (duplicate free),226
Number Best Critical Scenarios,525
Number Best Critical Scenarios (duplicate free),22
Number Best Scenarios,1297
Number Best Scenarios (duplicate free),51
Ratio Critical/All scenarios,0.31
Ratio Critical/All scenarios (duplicate free),0.21
Ratio Best Critical/Best Scenarios,0.40
Ratio Best Critical/Best Scenarios (duplicate free),0.43
Iteration first critical found,4
Fitness value of critical (first of population of interest),[-0.872204 -2.219201 -8.993186]
Input value of critical (first of population of interest),[0.441701 0.732291 1.48393 ]
