Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive
0,0.441701,0.732291,1.483930,-0.872204,-2.219201,-8.993186
1,0.441701,0.732291,1.483930,-0.872204,-2.219201,-8.993186
2,0.776534,1.986082,1.977408,-0.974046,-2.106109,-8.249213
3,0.458016,0.777093,1.483930,-0.960701,-2.411718,-8.249213
4,0.431795,0.732291,1.483930,-0.958939,-2.309718,-8.249213
5,0.776534,1.986082,1.977408,-0.974046,-2.106109,-8.249213
6,0.458016,0.777093,1.483930,-0.960701,-2.411718,-8.249213
7,0.431795,0.735276,1.465827,-0.959721,-2.309718,-9.516981
8,0.441701,0.732291,1.483930,-0.872204,-2.219201,-8.993186
9,0.776534,1.986082,1.977408,-0.974046,-2.106109,-8.249213
10,0.458016,0.777093,1.483930,-0.960701,-2.411718,-8.249213
11,0.431795,0.735276,1.465827,-0.959721,-2.309718,-9.516981
12,0.467614,0.770733,1.370011,-0.979981,-2.463805,-6.405236
13,0.431795,0.735276,1.465827,-0.959721,-2.309718,-9.516981
14,0.467614,0.770733,1.370011,-0.979981,-2.463805,-6.405236
15,0.579273,0.847416,0.872714,-0.897869,-2.684931,-9.310292
16,0.458016,0.777093,1.461333,-0.960946,-2.411718,-9.310292
17,0.610905,0.877038,0.847362,-0.851999,-2.696203,-9.310292
18,0.776534,1.986082,1.979548,-0.974046,-2.106109,-9.310292
19,0.584987,0.876899,1.052339,-0.873728,-2.617029,-9.310292
20,0.776534,1.986082,1.977408,-0.974046,-2.106109,-8.249213
21,0.431795,0.735276,1.465827,-0.959721,-2.309718,-9.516981
22,0.467614,0.770733,1.370011,-0.979981,-2.463805,-6.405236
23,0.579273,0.847416,0.872714,-0.897869,-2.684931,-9.310292
24,0.458016,0.777093,1.461333,-0.960946,-2.411718,-9.310292
25,0.610905,0.877038,0.847362,-0.851999,-2.696203,-9.310292
26,0.776534,1.986082,1.979548,-0.974046,-2.106109,-9.310292
27,0.467877,0.770733,1.368821,-0.974470,-2.451132,-8.277839
28,0.621482,0.876899,0.847362,-0.943175,-2.711653,-8.277839
29,0.431795,0.735276,1.465827,-0.959721,-2.309718,-9.516981
30,0.579273,0.847416,0.872714,-0.897869,-2.684931,-9.310292
