Attribute,Value
Number Critical Scenarios,980
Number Critical Scenarios (duplicate free),257
Number All Scenarios,1000
Number All Scenarios (duplicate free),276
Number Best Critical Scenarios,390
Number Best Critical Scenarios (duplicate free),60
Number Best Scenarios,390
Number Best Scenarios (duplicate free),60
Ratio Critical/All scenarios,0.98
Ratio Critical/All scenarios (duplicate free),0.93
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.975308  0.736748]
Input value of critical (first of population of interest),[1.310812 5.626906 0.828879]
