Attribute,Value
Number Critical Scenarios,269
Number Critical Scenarios (duplicate free),53
Number All Scenarios,1000
Number All Scenarios (duplicate free),245
Number Best Critical Scenarios,133
Number Best Critical Scenarios (duplicate free),11
Number Best Scenarios,500
Number Best Scenarios (duplicate free),62
Ratio Critical/All scenarios,0.27
Ratio Critical/All scenarios (duplicate free),0.22
Ratio Best Critical/Best Scenarios,0.27
Ratio Best Critical/Best Scenarios (duplicate free),0.18
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.996127  0.816873]
Input value of critical (first of population of interest),[ 1.912776 -5.121238  1.887902]
