Attribute,Value
Number Critical Scenarios,440
Number Critical Scenarios (duplicate free),156
Number All Scenarios,1000
Number All Scenarios (duplicate free),348
Number Best Critical Scenarios,10
Number Best Critical Scenarios (duplicate free),10
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.44
Ratio Critical/All scenarios (duplicate free),0.45
Ratio Best Critical/Best Scenarios,0.50
Ratio Best Critical/Best Scenarios (duplicate free),0.50
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.99277467  0.84055364]
Input value of critical (first of population of interest),[-5.95109429 -1.66891435  2.51770571]
