Attribute,Value
Number Critical Scenarios,435
Number Critical Scenarios (duplicate free),115
Number All Scenarios,1000
Number All Scenarios (duplicate free),296
Number Best Critical Scenarios,159
Number Best Critical Scenarios (duplicate free),25
Number Best Scenarios,402
Number Best Scenarios (duplicate free),59
Ratio Critical/All scenarios,0.43
Ratio Critical/All scenarios (duplicate free),0.39
Ratio Best Critical/Best Scenarios,0.40
Ratio Best Critical/Best Scenarios (duplicate free),0.42
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.999942  0.803856]
Input value of critical (first of population of interest),[-2.984628  7.058204 13.820599]
