Attribute,Value
Number Critical Scenarios,509
Number Critical Scenarios (duplicate free),119
Number All Scenarios,1000
Number All Scenarios (duplicate free),278
Number Best Critical Scenarios,168
Number Best Critical Scenarios (duplicate free),35
Number Best Scenarios,367
Number Best Scenarios (duplicate free),60
Ratio Critical/All scenarios,0.51
Ratio Critical/All scenarios (duplicate free),0.43
Ratio Best Critical/Best Scenarios,0.46
Ratio Best Critical/Best Scenarios (duplicate free),0.58
Iteration first critical found,4
Fitness value of critical (first of population of interest),[-0.999994  0.779708]
Input value of critical (first of population of interest),[-7.2599    0.603877  1.131658]
