RS_n_evals,RS_cid,RS_cid_sigma,NSGA-II-D_n_evals,NSGA-II-D_cid,NSGA-II-D_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma
100.0,0.3113036418909113,0.03524788429843053,100.0,0.38536270864417455,0.08765763578720553,100.0,0.3796140481543619,0.05902970486575955
200.0,0.21258262088377475,0.03210289345839879,200.0,0.33348353604658576,0.060687280851878675,200.0,0.35516561398462826,0.06661756957892791
300.0,0.18639776777070666,0.022035363462918338,300.0,0.3030966824824247,0.04733568968804506,300.0,0.33566034499798264,0.06854720375703117
400.0,0.16442328339538964,0.019155449655831425,400.0,0.28614489461072495,0.05195390063241797,400.0,0.3305480525642971,0.07207266993064405
500.0,0.1498219346067697,0.01670613407421773,500.0,0.27178570433639493,0.050689165541658386,500.0,0.32881359843719654,0.0724600426048179
600.0,0.13673016066389485,0.008702801366882016,600.0,0.2604580600426909,0.05792025710352117,600.0,0.3271791652639802,0.07238622741117773
700.0,0.13181020979852204,0.008747350624361534,700.0,0.25491095324867385,0.05848559860827401,700.0,0.32457078936113704,0.07288625959717607
800.0,0.12664066169455812,0.009448042753823998,800.0,0.24992195821971622,0.05870640833955741,800.0,0.32188638213826304,0.07235761549304286
900.0,0.12073527439078875,0.0053512406095937905,900.0,0.24834224415343192,0.05928760601514298,900.0,0.320813887367737,0.07225020057006216
1000.0,0.11682579860968516,0.005643088467538437,1000.0,0.24551901199648635,0.0590434630064129,1000.0,0.3207200388071608,0.07221969846614387
