run,RS,NSGA-II-D,NSGA-II
1,0.1252236081862617,0.20494522277101326,0.23841981829049608
2,0.12169727416353911,0.24365495440050378,0.3106997468487726
3,0.1194370502816929,0.14993702452751262,0.48987215355509045
4,0.11600257728277831,0.3400939114828563,0.34059807579242285
5,0.1103885313148111,0.28891307678555467,0.2902190246358539
6,0.10854746816975973,0.2448114718121912,0.230894417496156
7,0.11990371304192052,0.29917742023022414,0.31070691124068206
8,0.1190322677928359,0.22872438037177023,0.3261281605040751
9,0.11874093372678331,0.28200306434888933,0.30714393565069575
10,0.10928456213646918,0.1729295932343482,0.3625181440573634
