Attribute,Value
Number Critical Scenarios,163
Number Critical Scenarios (duplicate free),163
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,12
Number Best Critical Scenarios (duplicate free),12
Number Best Scenarios,12
Number Best Scenarios (duplicate free),12
Ratio Critical/All scenarios,0.16
Ratio Critical/All scenarios (duplicate free),0.16
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.755724  0.      ]
Input value of critical (first of population of interest),[-3.104341  5.718049  2.866584]
