Attribute,Value
Number Critical Scenarios,588
Number Critical Scenarios (duplicate free),171
Number All Scenarios,1000
Number All Scenarios (duplicate free),310
Number Best Critical Scenarios,11
Number Best Critical Scenarios (duplicate free),11
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.59
Ratio Critical/All scenarios (duplicate free),0.55
Ratio Best Critical/Best Scenarios,0.55
Ratio Best Critical/Best Scenarios (duplicate free),0.55
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.8784067   0.70125579]
Input value of critical (first of population of interest),[ 1.36815991 -7.08840123 13.4953956 ]
