Attribute,Value
Number Critical Scenarios,606
Number Critical Scenarios (duplicate free),180
Number All Scenarios,1000
Number All Scenarios (duplicate free),318
Number Best Critical Scenarios,142
Number Best Critical Scenarios (duplicate free),22
Number Best Scenarios,297
Number Best Scenarios (duplicate free),56
Ratio Critical/All scenarios,0.61
Ratio Critical/All scenarios (duplicate free),0.57
Ratio Best Critical/Best Scenarios,0.48
Ratio Best Critical/Best Scenarios (duplicate free),0.39
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999295  0.820026]
Input value of critical (first of population of interest),[ 1.679338 -4.763054  2.381762]
