Attribute,Value
Number Critical Scenarios,372
Number Critical Scenarios (duplicate free),372
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,10
Number Best Critical Scenarios (duplicate free),10
Number Best Scenarios,15
Number Best Scenarios (duplicate free),15
Ratio Critical/All scenarios,0.37
Ratio Critical/All scenarios (duplicate free),0.37
Ratio Best Critical/Best Scenarios,0.67
Ratio Best Critical/Best Scenarios (duplicate free),0.67
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999261  0.80431636  0.        ]
Input value of critical (first of population of interest),[ 0.1322433  -5.2571748   1.54372746]
