Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
279,0.480768,0.715490,0.689572,-0.988062,-2.460015
280,0.426444,0.840339,1.021723,-0.896853,-2.719888
281,0.433652,0.718339,1.263221,-0.999981,-2.389604
282,0.486274,0.783954,1.258868,-0.983594,-2.483900
283,0.479737,0.715490,0.689572,-0.988442,-2.457891
284,0.437807,0.840899,0.871750,-0.879877,-2.785608
285,0.486274,0.798953,1.258868,-0.927869,-2.552261
286,0.486274,0.798953,1.258815,-0.927869,-2.552261
287,0.433652,0.718406,1.286163,-0.999568,-2.389604
288,0.433652,0.718406,1.288262,-0.999568,-2.389604
289,0.470628,0.727710,1.217377,-0.999883,-1.500918
290,0.471058,0.713224,0.688993,-0.966397,-2.462407
291,0.455851,0.729701,0.930207,-0.942367,-2.469758
292,0.471058,0.713224,0.685029,-0.966397,-2.462407
293,0.446189,0.716635,1.003126,-0.973922,-2.433769
294,0.437048,0.842564,0.870820,-0.849913,-2.782834
295,0.436776,0.840899,0.871750,-0.868920,-2.781730
296,0.433652,0.718339,1.260470,-0.999981,-2.389604
297,0.488286,0.713224,0.688993,-0.979824,-2.561999
298,0.480768,0.715490,0.689572,-0.988062,-2.460015
299,0.433652,0.718339,1.263221,-0.999981,-2.389604
300,0.479737,0.715490,0.689572,-0.988442,-2.457891
301,0.437807,0.840899,0.871750,-0.879877,-2.785608
302,0.486274,0.783091,1.258868,-0.983595,-2.483900
303,0.427000,0.840899,1.021531,-0.900567,-2.725527
304,0.437251,0.840339,0.871942,-0.880147,-2.783970
305,0.436749,0.718406,1.278500,-0.993602,-2.391589
306,0.486274,0.798953,1.258868,-0.927869,-2.552261
307,0.486274,0.798953,1.258815,-0.927869,-2.552261
308,0.433652,0.718406,1.286163,-0.999568,-2.389604
309,0.433652,0.718406,1.288262,-0.999568,-2.389604
310,0.470628,0.727710,1.217377,-0.999883,-1.500918
311,0.486274,0.783954,1.258868,-0.983594,-2.483900
312,0.426444,0.840339,1.021723,-0.896853,-2.719888
313,0.437048,0.842564,0.870820,-0.849913,-2.782834
