n_evals,cid
40,1
80,1
120,1
160,0.44616320923736175
200,0.4346613135381638
240,0.43411888318465786
280,0.43411888318465786
320,0.4341043433766277
360,0.4192527318972558
400,0.41899672007800454
440,0.418973470720225
480,0.41376445539808154
520,0.4137628886618673
560,0.4137263998954527
600,0.41370776031028794
640,0.41370776031028794
680,0.413051591642354
720,0.41304415371520126
760,0.4129019156636692
800,0.4129019156636692
840,0.4129014721738632
880,0.412892093214435
920,0.4122599033964275
960,0.4122599033964275
1000,0.4122599033964275
1040,0.4122599033964275
1080,0.4122599033964275
1120,0.4122599033964275
1160,0.41225249652535517
1200,0.41225249652535517
1240,0.41225249652535517
1280,0.41225249652535517
1320,0.41225249652535517
1360,0.412178292125699
1400,0.41191450785243144
1440,0.41191450785243144
1480,0.41191450785243144
1520,0.4119131241722624
1560,0.4119131241722624
1600,0.4119131241722624
1640,0.4105391869704552
1680,0.4105391869704552
1720,0.4105391869704552
1760,0.4105391869704552
1800,0.4105391869704552
1840,0.4105391869704552
1880,0.4105391869704552
1920,0.4105391869704552
1960,0.4105391869704552
2000,0.4105391869704552
