Attribute,Value
Number Critical Scenarios,92
Number Critical Scenarios (duplicate free),92
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,10
Number Best Critical Scenarios (duplicate free),10
Number Best Scenarios,17
Number Best Scenarios (duplicate free),17
Ratio Critical/All scenarios,0.09
Ratio Critical/All scenarios (duplicate free),0.09
Ratio Best Critical/Best Scenarios,0.59
Ratio Best Critical/Best Scenarios (duplicate free),0.59
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.799185  0.      ]
Input value of critical (first of population of interest),[-0.491975  7.228904  6.012758]
