Attribute,Value
Number Critical Scenarios,539
Number Critical Scenarios (duplicate free),124
Number All Scenarios,1000
Number All Scenarios (duplicate free),215
Number Best Critical Scenarios,9
Number Best Critical Scenarios (duplicate free),9
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.54
Ratio Critical/All scenarios (duplicate free),0.58
Ratio Best Critical/Best Scenarios,0.45
Ratio Best Critical/Best Scenarios (duplicate free),0.45
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99486476  0.71414566  0.        ]
Input value of critical (first of population of interest),[1.9812745  3.71950146 1.83554228]
