Attribute,Value
Number Critical Scenarios,222
Number Critical Scenarios (duplicate free),61
Number All Scenarios,1000
Number All Scenarios (duplicate free),247
Number Best Critical Scenarios,91
Number Best Critical Scenarios (duplicate free),18
Number Best Scenarios,353
Number Best Scenarios (duplicate free),36
Ratio Critical/All scenarios,0.22
Ratio Critical/All scenarios (duplicate free),0.25
Ratio Best Critical/Best Scenarios,0.26
Ratio Best Critical/Best Scenarios (duplicate free),0.50
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.981185  0.809816  0.      ]
Input value of critical (first of population of interest),[-5.799344 -6.310278  2.307797]
