Attribute,Value
Number Critical Scenarios,699
Number Critical Scenarios (duplicate free),236
Number All Scenarios,1000
Number All Scenarios (duplicate free),360
Number Best Critical Scenarios,13
Number Best Critical Scenarios (duplicate free),13
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.70
Ratio Critical/All scenarios (duplicate free),0.66
Ratio Best Critical/Best Scenarios,0.65
Ratio Best Critical/Best Scenarios (duplicate free),0.65
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.96857649  0.72211064]
Input value of critical (first of population of interest),[3.77780069 6.2596697  0.1680549 ]
