Attribute,Value
Number Critical Scenarios,136
Number Critical Scenarios (duplicate free),26
Number All Scenarios,1000
Number All Scenarios (duplicate free),196
Number Best Critical Scenarios,66
Number Best Critical Scenarios (duplicate free),11
Number Best Scenarios,585
Number Best Scenarios (duplicate free),52
Ratio Critical/All scenarios,0.14
Ratio Critical/All scenarios (duplicate free),0.13
Ratio Best Critical/Best Scenarios,0.11
Ratio Best Critical/Best Scenarios (duplicate free),0.21
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.998675  0.835294 -0.646998]
Input value of critical (first of population of interest),[-3.488346 -7.596539  1.942282]
