Attribute,Value
Number Critical Scenarios,195
Number Critical Scenarios (duplicate free),54
Number All Scenarios,1000
Number All Scenarios (duplicate free),209
Number Best Critical Scenarios,110
Number Best Critical Scenarios (duplicate free),18
Number Best Scenarios,536
Number Best Scenarios (duplicate free),58
Ratio Critical/All scenarios,0.20
Ratio Critical/All scenarios (duplicate free),0.26
Ratio Best Critical/Best Scenarios,0.21
Ratio Best Critical/Best Scenarios (duplicate free),0.31
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999995  0.785173 -6.399648]
Input value of critical (first of population of interest),[-7.730072 -2.201273  0.799296]
