run,RS,NSGA-II-D,NSGA-II
1,0.10166646408753831,0.18953408419601658,0.23736545920952876
2,0.09600138901258509,0.17489793250836175,0.29766959076745003
3,0.09628622572332685,0.13713520778847949,0.3988436590446801
4,0.09777506564034537,0.21470291800344019,0.3044442031661774
5,0.09219335948894068,0.23913351830651133,0.2790684038987392
6,0.09273108542645109,0.2309941282066327,0.22299396385074924
7,0.1003044708449077,0.2620710540535143,0.2793447630850813
8,0.1003987004628091,0.1906046046658341,0.2869995103863378
9,0.09716141264932793,0.18690828088191797,0.27622061048461943
10,0.09181942557373758,0.16756152837734872,0.27946026134189644
