Attribute,Value
Number Critical Scenarios,436
Number Critical Scenarios (duplicate free),102
Number All Scenarios,1000
Number All Scenarios (duplicate free),331
Number Best Critical Scenarios,209
Number Best Critical Scenarios (duplicate free),39
Number Best Scenarios,271
Number Best Scenarios (duplicate free),45
Ratio Critical/All scenarios,0.44
Ratio Critical/All scenarios (duplicate free),0.31
Ratio Best Critical/Best Scenarios,0.77
Ratio Best Critical/Best Scenarios (duplicate free),0.87
Iteration first critical found,12
Fitness value of critical (first of population of interest),[-0.971253  0.770386]
Input value of critical (first of population of interest),[-6.206853  7.158046 17.563037]
