run,RS,NSGA-II-D,NSGA-II
1,0.22458979002132506,0.3341654021267919,0.42552978726881724
2,0.22476710412712356,0.3176224271943748,0.46609391380333975
3,0.21909832092197895,0.3570869559048939,0.43005733935344276
4,0.2656515784693216,0.26179240829573874,0.3822389706099204
5,0.2098259141536606,0.2575374919348144,0.4975380110757152
6,0.22055628786806047,0.25473117318430655,0.4620514025598846
7,0.23683862198989666,0.2503425708116296,0.36917320750553734
8,0.19611820096878815,0.42791552253209425,0.41683634413932585
9,0.21111091026988124,0.2475473656911789,0.42036317670760126
10,0.2244576049582049,0.3177790456375874,0.6032468451401988
