Attribute,Value
Number Critical Scenarios,347
Number Critical Scenarios (duplicate free),105
Number All Scenarios,1000
Number All Scenarios (duplicate free),221
Number Best Critical Scenarios,80
Number Best Critical Scenarios (duplicate free),26
Number Best Scenarios,324
Number Best Scenarios (duplicate free),50
Ratio Critical/All scenarios,0.35
Ratio Critical/All scenarios (duplicate free),0.48
Ratio Best Critical/Best Scenarios,0.25
Ratio Best Critical/Best Scenarios (duplicate free),0.52
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999992  0.820412  0.      ]
Input value of critical (first of population of interest),[-1.63114  -6.290084  1.788397]
