Attribute,Value
Number Critical Scenarios,546
Number Critical Scenarios (duplicate free),129
Number All Scenarios,1000
Number All Scenarios (duplicate free),251
Number Best Critical Scenarios,209
Number Best Critical Scenarios (duplicate free),22
Number Best Scenarios,368
Number Best Scenarios (duplicate free),41
Ratio Critical/All scenarios,0.55
Ratio Critical/All scenarios (duplicate free),0.51
Ratio Best Critical/Best Scenarios,0.57
Ratio Best Critical/Best Scenarios (duplicate free),0.54
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999989  0.815611]
Input value of critical (first of population of interest),[-6.381906 -0.038329  2.973878]
