Attribute,Value
Number Critical Scenarios,739
Number Critical Scenarios (duplicate free),235
Number All Scenarios,1000
Number All Scenarios (duplicate free),324
Number Best Critical Scenarios,143
Number Best Critical Scenarios (duplicate free),37
Number Best Scenarios,219
Number Best Scenarios (duplicate free),45
Ratio Critical/All scenarios,0.74
Ratio Critical/All scenarios (duplicate free),0.73
Ratio Best Critical/Best Scenarios,0.65
Ratio Best Critical/Best Scenarios (duplicate free),0.82
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.987911  0.737496]
Input value of critical (first of population of interest),[-1.123539 -6.237798  2.464737]
