Attribute,Value
Number Critical Scenarios,162
Number Critical Scenarios (duplicate free),46
Number All Scenarios,1000
Number All Scenarios (duplicate free),235
Number Best Critical Scenarios,108
Number Best Critical Scenarios (duplicate free),16
Number Best Scenarios,589
Number Best Scenarios (duplicate free),62
Ratio Critical/All scenarios,0.16
Ratio Critical/All scenarios (duplicate free),0.20
Ratio Best Critical/Best Scenarios,0.18
Ratio Best Critical/Best Scenarios (duplicate free),0.26
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999976  0.79357   0.      ]
Input value of critical (first of population of interest),[-6.899177 -0.278457  0.621039]
