Attribute,Value
Number Critical Scenarios,511
Number Critical Scenarios (duplicate free),144
Number All Scenarios,1000
Number All Scenarios (duplicate free),317
Number Best Critical Scenarios,13
Number Best Critical Scenarios (duplicate free),13
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.51
Ratio Critical/All scenarios (duplicate free),0.45
Ratio Best Critical/Best Scenarios,0.65
Ratio Best Critical/Best Scenarios (duplicate free),0.65
Iteration first critical found,4
Fitness value of critical (first of population of interest),[-0.96495754  0.85011956]
Input value of critical (first of population of interest),[ 6.58479289 -0.72992656  7.31038817]
