Attribute,Value
Number Critical Scenarios,69
Number Critical Scenarios (duplicate free),69
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,3
Number Best Critical Scenarios (duplicate free),3
Number Best Scenarios,7
Number Best Scenarios (duplicate free),7
Ratio Critical/All scenarios,0.07
Ratio Critical/All scenarios (duplicate free),0.07
Ratio Best Critical/Best Scenarios,0.43
Ratio Best Critical/Best Scenarios (duplicate free),0.43
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999961  0.828205  0.      ]
Input value of critical (first of population of interest),[-0.369004  7.517795  3.593665]
