Attribute,Value
Number Critical Scenarios,156
Number Critical Scenarios (duplicate free),32
Number All Scenarios,1000
Number All Scenarios (duplicate free),237
Number Best Critical Scenarios,117
Number Best Critical Scenarios (duplicate free),16
Number Best Scenarios,509
Number Best Scenarios (duplicate free),58
Ratio Critical/All scenarios,0.16
Ratio Critical/All scenarios (duplicate free),0.14
Ratio Best Critical/Best Scenarios,0.23
Ratio Best Critical/Best Scenarios (duplicate free),0.28
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.997758  0.811094 -2.683137]
Input value of critical (first of population of interest),[2.102546 6.313257 5.54374 ]
