Attribute,Value
Number Critical Scenarios,283
Number Critical Scenarios (duplicate free),66
Number All Scenarios,1000
Number All Scenarios (duplicate free),222
Number Best Critical Scenarios,143
Number Best Critical Scenarios (duplicate free),22
Number Best Scenarios,559
Number Best Scenarios (duplicate free),59
Ratio Critical/All scenarios,0.28
Ratio Critical/All scenarios (duplicate free),0.30
Ratio Best Critical/Best Scenarios,0.26
Ratio Best Critical/Best Scenarios (duplicate free),0.37
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.983021  0.739691  0.      ]
Input value of critical (first of population of interest),[-2.386467  7.535407  2.082319]
