Attribute,Value
Number Critical Scenarios,305
Number Critical Scenarios (duplicate free),59
Number All Scenarios,1000
Number All Scenarios (duplicate free),203
Number Best Critical Scenarios,134
Number Best Critical Scenarios (duplicate free),14
Number Best Scenarios,569
Number Best Scenarios (duplicate free),37
Ratio Critical/All scenarios,0.30
Ratio Critical/All scenarios (duplicate free),0.29
Ratio Best Critical/Best Scenarios,0.24
Ratio Best Critical/Best Scenarios (duplicate free),0.38
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999997  0.838104  0.      ]
Input value of critical (first of population of interest),[-2.73645  -6.024687  3.706806]
