Attribute,Value
Id,26b1da23-da2a-4f64-a0e7-deda3a1fb762
Timestamp,06-12-2023_22:52:44
Problem,Demo_AVP_NSGAII_Diverse
Algorithm,NSGA-II
Search variables,"['Ego_HostVelGain', 'Other_Velocity_mps', 'Other_Time_s']"
Search space,"[(0.1, 1.0), (0.5, 2.0), (0.0, 5.0)]"
Fitness function,FitnessAdaptedDistanceSpeedArchiveDistance
Critical function,CriticalAdasAdaptedDistanceVelocity_Small
Search time,0.00 sec
