Attribute,Value
Number Critical Scenarios,959
Number Critical Scenarios (duplicate free),287
Number All Scenarios,1000
Number All Scenarios (duplicate free),319
Number Best Critical Scenarios,20
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.96
Ratio Critical/All scenarios (duplicate free),0.90
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.          0.79273357]
Input value of critical (first of population of interest),[-0.20892028  6.31859162  3.93672303]
