n_evals,cid
20,1
40,1
60,0.7328749992765191
80,0.5669020355432708
100,0.4074444823584313
120,0.35557909395397713
140,0.2979303661157285
160,0.18954966274817886
180,0.1890842144127
200,0.18419767642429477
220,0.18294711719649676
240,0.1827434927126955
260,0.1827434927126955
280,0.1807087091812589
300,0.17777760586381727
320,0.17763181545596937
340,0.17763181545596937
360,0.17763181545596937
380,0.17734539731036406
400,0.17716840666056466
420,0.17645082120880307
440,0.17644864629532603
460,0.17594929466669534
480,0.17594929466669534
500,0.17594929466669534
520,0.17594929466669534
540,0.17594929466669534
560,0.17594929466669534
580,0.17593913323147856
600,0.17593913323147856
620,0.17593913323147856
640,0.17593913323147856
660,0.17565122772168842
680,0.17565122772168842
700,0.17565122772168842
720,0.17560829167892708
740,0.17560829167892708
760,0.17560829167892708
780,0.17560829167892708
800,0.17560829167892708
820,0.17560829167892708
840,0.17560829167892708
860,0.1719488366489496
880,0.1719488366489496
900,0.1709968065255663
920,0.1709968065255663
940,0.17066645008963247
960,0.16975851386080912
980,0.16975851386080912
1000,0.16975851386080912
