Attribute,Value
Number Critical Scenarios,873
Number Critical Scenarios (duplicate free),138
Number All Scenarios,1000
Number All Scenarios (duplicate free),176
Number Best Critical Scenarios,591
Number Best Critical Scenarios (duplicate free),52
Number Best Scenarios,646
Number Best Scenarios (duplicate free),56
Ratio Critical/All scenarios,0.87
Ratio Critical/All scenarios (duplicate free),0.78
Ratio Best Critical/Best Scenarios,0.91
Ratio Best Critical/Best Scenarios (duplicate free),0.93
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.998004  0.790773  0.      ]
Input value of critical (first of population of interest),[-3.912449  0.534446  2.659045]
