run,RS,NSGA-II-D,NSGA-II
1,0.13951775882144424,0.22805561618664152,0.4143308628654389
2,0.1456864894853879,0.25163663132875125,0.35765185752579076
3,0.14039066106893675,0.2536416458293778,0.3157294016745278
4,0.15136645601772059,0.24749882198850928,0.5207290047948315
5,0.1500961057796177,0.24938959882762166,0.4494379812310025
6,0.15351389208213437,0.22939742558172177,0.37028312299911736
7,0.1487164645929058,0.2518099128458662,0.37580909980131916
8,0.1461158131070758,0.3260319321347164,0.44394509374310015
9,0.1457847657134633,0.2102104643371916,0.42936624883282587
10,0.14536559353192552,0.23399891249450355,0.32033381715696074
