Attribute,Value
Number Critical Scenarios,317
Number Critical Scenarios (duplicate free),81
Number All Scenarios,1000
Number All Scenarios (duplicate free),239
Number Best Critical Scenarios,214
Number Best Critical Scenarios (duplicate free),32
Number Best Scenarios,685
Number Best Scenarios (duplicate free),69
Ratio Critical/All scenarios,0.32
Ratio Critical/All scenarios (duplicate free),0.34
Ratio Best Critical/Best Scenarios,0.31
Ratio Best Critical/Best Scenarios (duplicate free),0.46
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.988769  0.779637 -4.736937]
Input value of critical (first of population of interest),[-6.72628   7.621518 19.897177]
