Attribute,Value
Number Critical Scenarios,285
Number Critical Scenarios (duplicate free),89
Number All Scenarios,1000
Number All Scenarios (duplicate free),358
Number Best Critical Scenarios,79
Number Best Critical Scenarios (duplicate free),16
Number Best Scenarios,199
Number Best Scenarios (duplicate free),42
Ratio Critical/All scenarios,0.28
Ratio Critical/All scenarios (duplicate free),0.25
Ratio Best Critical/Best Scenarios,0.40
Ratio Best Critical/Best Scenarios (duplicate free),0.38
Iteration first critical found,5
Fitness value of critical (first of population of interest),[-0.982296  0.808948]
Input value of critical (first of population of interest),[5.37259  3.23149  7.024823]
