run,RS,NSGA-II-D,NSGA-II
1,0.15397320849994928,0.22229281018524158,0.3454660170086053
2,0.16682767651313135,0.37263107912128357,0.439552398638211
3,0.1514162198099137,0.26989464590629453,0.3380256116868112
4,0.18479666080006923,0.3248355824128829,0.3435165916231359
5,0.19290374106373614,0.27331342867325703,0.3707787745049663
6,0.18265077637734717,0.24989774725968708,0.6484575896672208
7,0.18469252631068392,0.23536749393079448,0.36600012224118783
8,0.1567179440018466,0.4301747411624657,0.5676298587193233
9,0.15214877847551211,0.2683223787167523,0.44145043342089413
10,0.15958572755174333,0.3271072587409099,0.4131446596909855
