Attribute,Value
Number Critical Scenarios,128
Number Critical Scenarios (duplicate free),42
Number All Scenarios,1000
Number All Scenarios (duplicate free),324
Number Best Critical Scenarios,9
Number Best Critical Scenarios (duplicate free),3
Number Best Scenarios,368
Number Best Scenarios (duplicate free),77
Ratio Critical/All scenarios,0.13
Ratio Critical/All scenarios (duplicate free),0.13
Ratio Best Critical/Best Scenarios,0.02
Ratio Best Critical/Best Scenarios (duplicate free),0.04
Iteration first critical found,5
Fitness value of critical (first of population of interest),[-0.997836  0.822989]
Input value of critical (first of population of interest),[-7.937157  4.258797  2.605783]
