Attribute,Value
Number Critical Scenarios,568
Number Critical Scenarios (duplicate free),162
Number All Scenarios,1000
Number All Scenarios (duplicate free),317
Number Best Critical Scenarios,64
Number Best Critical Scenarios (duplicate free),23
Number Best Scenarios,153
Number Best Scenarios (duplicate free),40
Ratio Critical/All scenarios,0.57
Ratio Critical/All scenarios (duplicate free),0.51
Ratio Best Critical/Best Scenarios,0.42
Ratio Best Critical/Best Scenarios (duplicate free),0.57
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.998372  0.776111]
Input value of critical (first of population of interest),[0.233856 6.374428 6.476701]
