Attribute,Value
Number Critical Scenarios,521
Number Critical Scenarios (duplicate free),146
Number All Scenarios,1000
Number All Scenarios (duplicate free),292
Number Best Critical Scenarios,9
Number Best Critical Scenarios (duplicate free),9
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.52
Ratio Critical/All scenarios (duplicate free),0.50
Ratio Best Critical/Best Scenarios,0.45
Ratio Best Critical/Best Scenarios (duplicate free),0.45
Iteration first critical found,5
Fitness value of critical (first of population of interest),[-0.99999958  0.83376697]
Input value of critical (first of population of interest),[-5.60125974  3.88275443  2.81289237]
