Attribute,Value
Number Critical Scenarios,450
Number Critical Scenarios (duplicate free),123
Number All Scenarios,1000
Number All Scenarios (duplicate free),316
Number Best Critical Scenarios,136
Number Best Critical Scenarios (duplicate free),27
Number Best Scenarios,217
Number Best Scenarios (duplicate free),46
Ratio Critical/All scenarios,0.45
Ratio Critical/All scenarios (duplicate free),0.39
Ratio Best Critical/Best Scenarios,0.63
Ratio Best Critical/Best Scenarios (duplicate free),0.59
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.99999   0.850851]
Input value of critical (first of population of interest),[ 0.919486 -6.271827  2.165482]
