Attribute,Value
Number Critical Scenarios,164
Number Critical Scenarios (duplicate free),164
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,8
Number Best Critical Scenarios (duplicate free),8
Number Best Scenarios,13
Number Best Scenarios (duplicate free),13
Ratio Critical/All scenarios,0.16
Ratio Critical/All scenarios (duplicate free),0.16
Ratio Best Critical/Best Scenarios,0.62
Ratio Best Critical/Best Scenarios (duplicate free),0.62
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99995279  0.77082088  0.        ]
Input value of critical (first of population of interest),[-4.77883525 -0.3412783   2.79757669]
