run,RS,NSGA-II-D,NSGA-II
1,0.12465049508666647,0.3725156810006796,0.2844390427444746
2,0.13798274189407359,0.21196956517020646,0.33189289410482176
3,0.1384531740683224,0.27434700227026215,0.33074110725289846
4,0.1344955061902708,0.19494095558610272,0.2717396212221801
5,0.13696271958256404,0.19492091836263106,0.25718521050356413
6,0.13599581492517235,0.19710185708996802,0.32465441632961495
7,0.14308594623745113,0.3212721861239274,0.31313392581063987
8,0.13373234101511913,0.1904323355374173,0.29776616077912466
9,0.13744324070225905,0.21201719669888103,0.2978739428604986
10,0.13486945067815231,0.41584584401707736,0.3027368734578723
