Attribute,Value
Number Critical Scenarios,520
Number Critical Scenarios (duplicate free),120
Number All Scenarios,1000
Number All Scenarios (duplicate free),221
Number Best Critical Scenarios,261
Number Best Critical Scenarios (duplicate free),29
Number Best Scenarios,577
Number Best Scenarios (duplicate free),41
Ratio Critical/All scenarios,0.52
Ratio Critical/All scenarios (duplicate free),0.54
Ratio Best Critical/Best Scenarios,0.45
Ratio Best Critical/Best Scenarios (duplicate free),0.71
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-1.        0.783989 -6.805127]
Input value of critical (first of population of interest),[ 6.447952 -6.059916  1.863398]
