n_evals,cid
20,0.394055864936024
40,0.34076799050540385
60,0.30537944867833977
80,0.28203267016995615
100,0.24947792031765448
120,0.24904274236556645
140,0.2416679437002359
160,0.24103818898146773
180,0.2403864479685214
200,0.2395663880711367
220,0.23930695639945115
240,0.2391348066029869
260,0.23909987627162818
280,0.23828153308683245
300,0.2360407304384222
320,0.2360362866295002
340,0.23570035050753066
360,0.23561717884599712
380,0.23560384246436722
400,0.2355686160315295
420,0.23550425286031898
440,0.23549473774671822
460,0.23549473774671822
480,0.2354528444467894
500,0.2354528444467894
520,0.2354528444467894
540,0.23544260045012466
560,0.23544260045012466
580,0.23544260045012466
600,0.23544260045012466
620,0.23544260045012466
640,0.23544260045012466
660,0.23544260045012466
680,0.23544260045012466
700,0.23530682374147036
720,0.2352787300039347
740,0.2352787300039347
760,0.2352787300039347
780,0.23521757908199276
800,0.23521757908199276
820,0.23521548800092626
840,0.23521548800092626
860,0.23521548800092626
880,0.23521313240889707
900,0.23521153951019388
920,0.23520941335105014
940,0.23520941335105014
960,0.23518806095119615
980,0.23518315519351368
1000,0.23518315519351368
