Attribute,Value
Number Critical Scenarios,386
Number Critical Scenarios (duplicate free),92
Number All Scenarios,1000
Number All Scenarios (duplicate free),340
Number Best Critical Scenarios,145
Number Best Critical Scenarios (duplicate free),26
Number Best Scenarios,300
Number Best Scenarios (duplicate free),58
Ratio Critical/All scenarios,0.39
Ratio Critical/All scenarios (duplicate free),0.27
Ratio Best Critical/Best Scenarios,0.48
Ratio Best Critical/Best Scenarios (duplicate free),0.45
Iteration first critical found,4
Fitness value of critical (first of population of interest),[-0.998151  0.765947]
Input value of critical (first of population of interest),[-6.622927  7.594    19.725987]
