Attribute,Value
Number Critical Scenarios,493
Number Critical Scenarios (duplicate free),116
Number All Scenarios,1000
Number All Scenarios (duplicate free),234
Number Best Critical Scenarios,8
Number Best Critical Scenarios (duplicate free),8
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.49
Ratio Critical/All scenarios (duplicate free),0.50
Ratio Best Critical/Best Scenarios,0.40
Ratio Best Critical/Best Scenarios (duplicate free),0.40
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.77542698  0.71843857  0.        ]
Input value of critical (first of population of interest),[-2.7667694   6.74289837  1.75355487]
