Attribute,Value
Number Critical Scenarios,687
Number Critical Scenarios (duplicate free),233
Number All Scenarios,1000
Number All Scenarios (duplicate free),328
Number Best Critical Scenarios,13
Number Best Critical Scenarios (duplicate free),13
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.69
Ratio Critical/All scenarios (duplicate free),0.71
Ratio Best Critical/Best Scenarios,0.65
Ratio Best Critical/Best Scenarios (duplicate free),0.65
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.73199558  0.79921569]
Input value of critical (first of population of interest),[ 6.08633141  0.40572173 14.57339496]
