Attribute,Value
Number Critical Scenarios,207
Number Critical Scenarios (duplicate free),207
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,3
Number Best Critical Scenarios (duplicate free),3
Number Best Scenarios,4
Number Best Scenarios (duplicate free),4
Ratio Critical/All scenarios,0.21
Ratio Critical/All scenarios (duplicate free),0.21
Ratio Best Critical/Best Scenarios,0.75
Ratio Best Critical/Best Scenarios (duplicate free),0.75
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999672  0.78078679  0.        ]
Input value of critical (first of population of interest),[ 6.83497786 -3.16751623  6.86826119]
