Attribute,Value
Number Critical Scenarios,137
Number Critical Scenarios (duplicate free),137
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,13
Number Best Critical Scenarios (duplicate free),13
Number Best Scenarios,14
Number Best Scenarios (duplicate free),14
Ratio Critical/All scenarios,0.14
Ratio Critical/All scenarios (duplicate free),0.14
Ratio Best Critical/Best Scenarios,0.93
Ratio Best Critical/Best Scenarios (duplicate free),0.93
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.          0.77988065  0.        ]
Input value of critical (first of population of interest),[-7.44397792  4.38134351  1.41441072]
